t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 , 36 , 37 , 38 , 39
0 , 0.296915 , 0.678762 , 0.901456 , 0.12125 , -0.117985 , 0.354747 , -0.836024 , 0.701132 , 0.775964 , 0.778039 , 0.997833 , 0.679708 , 0.5992 , 0.0156865 , 0.911588 , 0.210913 , 0.224342 , 0.941191 , 0.261208 , 0.494339 , 0.664998 , 0.515702 , 0.511429 , 0.874752 , 0.889828 , 0.89172 , 0.148137 , 0.582476 , 0.383709 , 0.409558 , 0.0413526 , 0.916532 , 0.873074 , 0.614154 , 0.165075 , 0.275277 , 0.638997 , 0.293588 , 0.932798 , 0.263375
1 , -0.252724 , 0.00708029 , 0.394147 , 0.293161 , -0.0882901 , 0.748161 , 0.317454 , 0.9447 , 0.0306711 , 0.843074 , 0.583209 , 0.647084 , 0.727897 , 0.168279 , 0.991302 , 0.105838 , 0.258522 , 0.512864 , 0.789636 , 0.769494 , 0.0682089 , 0.436323 , 0.810907 , 0.211158 , 0.328898 , 0.31315 , 0.056917 , 0.819117 , 0.17127 , 0.684286 , 0.582842 , 0.92761 , 0.853572 , 0.13126 , 0.943266 , 0.411206 , 0.192633 , 0.514206 , 0.448836 , 0.198431
2 , -0.935881 , 0.364513 , 0.179479 , 0.711417 , -0.455245 , 0.0834986 , 0.263283 , 0.535081 , 0.459365 , 0.485366 , 0.366588 , 0.156865 , 0.70806 , 0.839137 , 0.557787 , 0.90997 , 0.353404 , 0.659658 , 0.881039 , 0.719535 , 0.739921 , 0.553545 , 0.404431 , 0.416089 , 0.0821253 , 0.537309 , 0.472488 , 0.658864 , 0.266976 , 0.15305 , 0.16126 , 0.383892 , 0.354076 , 0.444929 , 0.438154 , 0.430311 , 0.0906095 , 0.895596 , 0.467879 , 0.663717
3 , -0.506974 , -0.959349 , 0.606464 , 0.121891 , 0.743675 , 0.202063 , -0.304483 , 0.608509 , -0.864223 , 0.0400403 , 0.822962 , 0.239051 , 0.603961 , 0.752892 , 0.44261 , 0.893185 , 0.014008 , 0.604205 , 0.630177 , 0.0150151 , 0.712241 , 0.633442 , 0.475875 , 0.745689 , 0.86874 , 0.764458 , 0.736503 , 0.0283517 , 0.674856 , 0.829341 , 0.686361 , 0.574053 , 0.886135 , 0.385479 , 0.162572 , 0.29957 , 0.199561 , 0.714133 , 0.766076 , 0.245918
4 , 0.708457 , 0.818384 , 0.198309 , -0.640828 , 0.883999 , -0.594165 , 0.921323 , -0.708945 , 0.480422 , 0.696249 , 0.343974 , 0.626576 , 0.883633 , 0.969512 , 0.822901 , 0.388958 , 0.894467 , 0.112735 , 0.851741 , 0.258431 , 0.679586 , 0.652211 , 0.349803 , 0.972808 , 0.308542 , 0.549486 , 0.63216 , 0.0780969 , 0.662831 , 0.350597 , 0.935057 , 0.842433 , 0.71334 , 0.802087 , 0.0474258 , 0.998718 , 0.751518 , 0.784326 , 0.213385 , 0.626637
5 , -0.0797754 , 0.915799 , 0.757653 , 0.205847 , 0.330393 , 0.080813 , 0.310099 , 0.102176 , 0.984924 , 0.0740074 , 0.785943 , 0.936827 , 0.304331 , 0.106906 , 0.476333 , 0.339213 , 0.953063 , 0.143468 , 0.167272 , 0.017243 , 0.439985 , 0.768731 , 0.245491 , 0.172185 , 0.988342 , 0.399579 , 0.763085 , 0.592364 , 0.453963 , 0.201239 , 0.555559 , 0.624378 , 0.167791 , 0.410108 , 0.0706198 , 0.180486 , 0.285195 , 0.931639 , 0.0275887 , 0.867367
6 , 0.331645 , 0.231788 , 0.45613 , 0.907376 , 0.765587 , 0.389813 , 0.697592 , -0.984924 , -0.182653 , 0.730766 , 0.0195318 , 0.871242 , 0.956999 , 0.987854 , 0.850703 , 0.169347 , 0.5786 , 0.231727 , 0.719199 , 0.500198 , 0.461531 , 0.422315 , 0.155705 , 0.630665 , 0.653096 , 0.496841 , 0.0572832 , 0.524583 , 0.0429395 , 0.0600604 , 0.196204 , 0.606342 , 0.091525 , 0.764031 , 0.0109867 , 0.955809 , 0.712546 , 0.589953 , 0.153203 , 0.81988
7 , 0.731223 , 0.979461 , -0.731956 , 0.22837 , 0.856838 , 0.305124 , 0.00711081 , 0.40318 , -0.636738 , -0.654439 , 0.263344 , 0.463301 , 0.749474 , 0.241218 , 0.729026 , 0.0249031 , 0.968383 , 0.142125 , 0.293039 , 0.906613 , 0.573748 , 0.555345 , 0.850765 , 0.882138 , 0.522691 , 0.545976 , 0.396008 , 0.657338 , 0.137516 , 0.273019 , 0.759331 , 0.0109867 , 0.402753 , 0.354869 , 0.327128 , 0.803797 , 0.510056 , 0.5244 , 0.765252 , 0.661153
8 , 0.172979 , 0.0361034 , -0.249702 , -0.568346 , 0.195349 , 0.087405 , -0.307749 , 0.50856 , 0.518021 , 0.539201 , 0.481002 , 0.906857 , 0.110874 , 0.890439 , 0.771569 , 0.900479 , 0.539354 , 0.820124 , 0.129002 , 0.981536 , 0.784051 , 0.960845 , 0.00720237 , 0.867946 , 0.733024 , 0.74691 , 0.367626 , 0.387707 , 0.224769 , 0.450728 , 0.780236 , 0.00744652 , 0.7875 , 0.833003 , 0.161351 , 0.607044 , 0.0352184 , 0.678945 , 0.898251 , 0.553758
9 , 0.729392 , 0.40025 , 0.0310068 , 0.380688 , -0.763695 , 0.114353 , 0.673452 , 0.454939 , 0.758019 , 0.858211 , 0.624775 , 0.995636 , 0.197821 , 0.458754 , 0.71633 , 0.692526 , 0.654042 , 0.173223 , 0.204352 , 0.806726 , 0.219031 , 0.755272 , 0.462081 , 0.2219 , 0.902524 , 0.892422 , 0.14655 , 0.637196 , 0.762719 , 0.191351 , 0.930998 , 0.246345 , 0.515793 , 0.355754 , 0.468703 , 0.811792 , 0.967956 , 0.148961 , 0.20014 , 0.43083

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 , 36 , 37 , 38 , 39
0 , 0.437532 , 0.74301 , 0.921165 , 0.297 , -0.294388 , 0.354747 , -0.836024 , 0.760906 , 0.820771 , 0.822431 , 0.998267 , 0.743767 , 0.5992 , 0.212549 , 0.92927 , 0.210913 , 0.379473 , 0.941191 , 0.408966 , 0.595471 , 0.731999 , 0.515702 , 0.609143 , 0.874752 , 0.889828 , 0.913376 , 0.318509 , 0.665981 , 0.383709 , 0.527647 , 0.233082 , 0.933226 , 0.898459 , 0.691324 , 0.165075 , 0.420222 , 0.638997 , 0.43487 , 0.946239 , 0.263375
1 , -0.402179 , 0.205664 , 0.515317 , 0.434529 , -0.270632 , 0.748161 , 0.317454 , 0.95576 , 0.224537 , 0.874459 , 0.666567 , 0.717667 , 0.727897 , 0.334623 , 0.993042 , 0.105838 , 0.406818 , 0.512864 , 0.831709 , 0.815595 , 0.254567 , 0.436323 , 0.848726 , 0.211158 , 0.328898 , 0.45052 , 0.245534 , 0.855293 , 0.17127 , 0.747429 , 0.666274 , 0.942088 , 0.882858 , 0.305008 , 0.943266 , 0.528965 , 0.192633 , 0.611365 , 0.559069 , 0.198431
2 , -0.948704 , 0.49161 , 0.343583 , 0.769134 , -0.564196 , 0.0834986 , 0.263283 , 0.628065 , 0.567492 , 0.588293 , 0.493271 , 0.325492 , 0.70806 , 0.87131 , 0.646229 , 0.90997 , 0.482723 , 0.659658 , 0.904831 , 0.775628 , 0.791937 , 0.553545 , 0.523545 , 0.416089 , 0.0821253 , 0.629847 , 0.57799 , 0.727091 , 0.266976 , 0.32244 , 0.329008 , 0.507114 , 0.483261 , 0.555943 , 0.438154 , 0.544249 , 0.0906095 , 0.916477 , 0.574303 , 0.663717
3 , -0.605579 , -0.967479 , 0.685171 , 0.297513 , 0.79494 , 0.202063 , -0.304483 , 0.686807 , -0.891379 , 0.232032 , 0.85837 , 0.391241 , 0.603961 , 0.802313 , 0.554088 , 0.893185 , 0.211206 , 0.604205 , 0.704141 , 0.212012 , 0.769793 , 0.633442 , 0.5807 , 0.745689 , 0.86874 , 0.811566 , 0.789203 , 0.222681 , 0.674856 , 0.863472 , 0.749089 , 0.659243 , 0.908908 , 0.508383 , 0.162572 , 0.439656 , 0.199561 , 0.771307 , 0.81286 , 0.245918
4 , 0.766765 , 0.854707 , 0.358647 , -0.712662 , 0.907199 , -0.594165 , 0.921323 , -0.767156 , 0.584338 , 0.756999 , 0.475179 , 0.70126 , 0.883633 , 0.97561 , 0.858321 , 0.388958 , 0.915574 , 0.112735 , 0.881393 , 0.406745 , 0.743669 , 0.652211 , 0.479843 , 0.972808 , 0.308542 , 0.639589 , 0.705728 , 0.262478 , 0.662831 , 0.480477 , 0.948045 , 0.873946 , 0.770672 , 0.84167 , 0.0474258 , 0.998975 , 0.751518 , 0.827461 , 0.370708 , 0.626637
5 , -0.0638203 , 0.73264 , 0.606122 , 0.164678 , 0.264315 , 0.080813 , 0.310099 , 0.0817408 , 0.787939 , 0.0592059 , 0.628754 , 0.749461 , 0.304331 , 0.0855251 , 0.381066 , 0.339213 , 0.76245 , 0.143468 , 0.133818 , 0.0137944 , 0.351988 , 0.768731 , 0.196393 , 0.172185 , 0.988342 , 0.319663 , 0.610468 , 0.473891 , 0.453963 , 0.160991 , 0.444447 , 0.499503 , 0.134233 , 0.328086 , 0.0706198 , 0.144389 , 0.285195 , 0.745311 , 0.022071 , 0.867367
6 , 0.265316 , 0.18543 , 0.364904 , 0.725901 , 0.61247 , 0.389813 , 0.697592 , -0.787939 , -0.146123 , 0.584613 , 0.0156255 , 0.696994 , 0.956999 , 0.790283 , 0.680563 , 0.169347 , 0.46288 , 0.231727 , 0.575359 , 0.400159 , 0.369225 , 0.422315 , 0.124564 , 0.630665 , 0.653096 , 0.397473 , 0.0458266 , 0.419666 , 0.0429395 , 0.0480483 , 0.156963 , 0.485073 , 0.07322 , 0.611225 , 0.0109867 , 0.764647 , 0.712546 , 0.471963 , 0.122562 , 0.81988
