t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 , 36 , 37 , 38 , 39
0 , 0.10535 , 0.256661 , 0.740867 , -0.204047 , -0.225654 , 0.413221 , 0.705008 , -0.111393 , 0.695547 , 0.190893 , 0.137638 , 0.328745 , 0.79635 , 0.566393 , 0.042085 , 0.623035 , 0.100711 , 0.598102 , 0.473342 , 0.459883 , 0.486038 , 0.94763 , 0.310373 , 0.0343638 , 0.921537 , 0.389904 , 0.264412 , 0.773949 , 0.471114 , 0.0198065 , 0.850887 , 0.197546 , 0.609272 , 0.333811 , 0.576708 , 0.219459 , 0.72805 , 0.336711 , 0.774651 , 0.436171
1 , 0.54912 , 0.0986663 , 0.360454 , 0.328318 , 0.577837 , 0.783807 , 0.295419 , 0.825221 , 0.599506 , -0.207312 , 0.997192 , 0.841731 , 0.259621 , 0.0195013 , 0.647267 , 0.602374 , 0.810816 , 0.967254 , 0.827326 , 0.968993 , 0.609729 , 0.79577 , 0.888485 , 0.69274 , 0.524461 , 0.119358 , 0.383007 , 0.274392 , 0.953124 , 0.861049 , 0.279366 , 0.7228 , 0.934629 , 0.848476 , 0.315104 , 0.277474 , 0.0389111 , 0.937132 , 0.729392 , 0.942289
2 , 0.529618 , 0.00625629 , -0.327433 , 0.623981 , 0.80398 , -0.68862 , -0.986267 , 0.756828 , 0.830927 , -0.796258 , 0.841029 , 0.957183 , 0.463729 , 0.630634 , 0.716453 , 0.761284 , 0.793115 , 0.318094 , 0.427869 , 0.0231635 , 0.964415 , 0.389508 , 0.673086 , 0.176641 , 0.760735 , 0.87878 , 0.243934 , 0.212226 , 0.676351 , 0.117771 , 0.146825 , 0.99414 , 0.631245 , 0.11301 , 0.97882 , 0.747368 , 0.314585 , 0.0433668 , 0.139286 , 0.168187
3 , 0.841975 , 0.108158 , -0.0245674 , 0.265877 , 0.874905 , 0.420911 , 0.170751 , 0.587146 , 0.313456 , 0.883999 , 0.147313 , 0.870174 , 0.188391 , 0.637165 , 0.363811 , 0.925016 , 0.655995 , 0.752007 , 0.820612 , 0.236702 , 0.907376 , 0.764183 , 0.365184 , 0.240761 , 0.430006 , 0.936033 , 0.891171 , 0.678152 , 0.715079 , 0.778771 , 0.234657 , 0.989135 , 0.00497452 , 0.450331 , 0.606128 , 0.169256 , 0.174535 , 0.0506607 , 0.944182 , 0.0175787
4 , -0.00482192 , -0.82168 , 0.248543 , 0.175695 , -0.166692 , 0.444197 , -0.0463271 , -0.938658 , 0.501511 , 0.849788 , 0.781335 , 0.399884 , 0.0965911 , 0.616596 , 0.280251 , 0.750328 , 0.256569 , 0.499649 , 0.73162 , 0.989166 , 0.578661 , 0.250649 , 0.575701 , 0.0778222 , 0.52504 , 0.545946 , 0.501083 , 0.204871 , 0.371746 , 0.136052 , 0.3043 , 0.756218 , 0.249977 , 0.427992 , 0.688131 , 0.408216 , 0.411603 , 0.16541 , 0.634266 , 0.597736
5 , 0.778924 , 0.780175 , 0.174657 , -0.870785 , 0.391064 , 0.391766 , 0.570269 , 0.147313 , 0.822352 , 0.881558 , 0.761528 , 0.135838 , 0.299722 , 0.822199 , 0.00360118 , 0.406751 , 0.0822169 , 0.60445 , 0.466506 , 0.266732 , 0.201941 , 0.182409 , 0.188452 , 0.588305 , 0.657308 , 0.782403 , 0.870785 , 0.161718 , 0.727683 , 0.742088 , 0.710624 , 0.934385 , 0.124424 , 0.940367 , 0.906949 , 0.298593 , 0.792993 , 0.612171 , 0.113468 , 0.989196
6 , 0.441328 , 0.69509 , 0.802728 , -0.913327 , -0.280618 , 0.513993 , 0.541002 , 0.745903 , 0.38139 , 0.581866 , 0.0826136 , 0.0938139 , 0.510453 , 0.809442 , 0.807886 , 0.830073 , 0.782403 , 0.959258 , 0.491256 , 0.138707 , 0.0103153 , 0.227485 , 0.348766 , 0.274728 , 0.107852 , 0.995148 , 0.531388 , 0.774041 , 0.818934 , 0.991729 , 0.640095 , 0.897519 , 0.251473 , 0.915616 , 0.499008 , 0.913694 , 0.485794 , 0.465743 , 0.187689 , 0.6404
7 , 0.0245369 , 0.766778 , 0.555712 , 0.0762658 , 0.148961 , 0.613483 , 0.980163 , 0.169103 , 0.39671 , 0.476852 , 0.251228 , 0.787561 , 0.939787 , 0.760002 , 0.867916 , 0.454329 , 0.00708029 , 0.102695 , 0.850581 , 0.774438 , 0.797082 , 0.345561 , 0.0764489 , 0.761406 , 0.503159 , 0.892026 , 0.486282 , 0.767754 , 0.437086 , 0.329264 , 0.974212 , 0.524094 , 0.0448317 , 0.647755 , 0.243324 , 0.460097 , 0.108005 , 0.108127 , 0.678121 , 0.387005
8 , 0.137089 , -0.236641 , 0.283242 , -0.679312 , 0.320475 , -0.829859 , 0.28959 , -0.122623 , 0.674703 , -0.24781 , 0.690909 , 0.123051 , 0.594684 , 0.40904 , 0.85577 , 0.828791 , 0.208289 , 0.682028 , 0.580767 , 0.407819 , 0.0914029 , 0.369976 , 0.504349 , 0.938871 , 0.115635 , 0.245949 , 0.57448 , 0.639027 , 0.554949 , 0.0804468 , 0.777642 , 0.59154 , 0.259713 , 0.753746 , 0.0748924 , 0.79754 , 0.404248 , 0.310678 , 0.159398 , 0.0966216
9 , 0.499924 , 0.698508 , 0.235511 , 0.0587481 , 0.66277 , 0.255501 , 0.941679 , 0.411908 , 0.89523 , -0.216895 , 0.67217 , 0.021363 , 0.132023 , 0.98233 , 0.624836 , 0.0256966 , 0.560594 , 0.987548 , 0.77282 , 0.155431 , 0.959288 , 0.214759 , 0.741447 , 0.73339 , 0.789727 , 0.226936 , 0.458754 , 0.548631 , 0.377392 , 0.909604 , 0.411573 , 0.795984 , 0.168462 , 0.755333 , 0.322733 , 0.583087 , 0.546342 , 0.941038 , 0.323069 , 0.938231
