t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , -0.490646 , 0.744926 , 0.978332 , 0.900632 , 0.361431 , 0.855037 , 0.677328 , 0.419935 , 0.401349 , 0.0982696
1 , 0.928861 , -0.260048 , 0.64452 , -0.283486 , 0.88522 , -0.418104 , -0.965575 , -0.455153 , 0.303171 , 0.517289
2 , -0.569903 , 0.266854 , 0.775689 , -0.511643 , 0.018128 , 0.395642 , -0.587878 , 0.899503 , 0.893551 , 0.266121
3 , 0.0142827 , 0.309 , 0.102725 , 0.644795 , 0.250282 , 0.939879 , 0.900235 , -0.923582 , 0.0481582 , 0.54619
4 , 0.610675 , 0.875973 , 0.783685 , 0.277047 , 0.903348 , 0.528947 , 0.73632 , 0.88699 , 0.0959502 , 0.41905
5 , 0.72457 , 0.303171 , 0.227149 , 0.750023 , 0.0507828 , 0.234535 , 0.156224 , -0.720542 , -0.295389 , 0.348857
6 , 0.760369 , -0.894192 , 0.917631 , 0.160192 , -0.253029 , -0.57271 , 0.543962 , 0.444716 , -0.725272 , 0.145878
7 , -0.760491 , -0.778436 , 0.976806 , 0.193335 , 0.78045 , 0.278481 , -0.370586 , 0.999359 , 0.55913 , 0.220649
8 , 0.14835 , 0.598315 , 0.571917 , 0.765801 , 0.779138 , 0.104984 , 0.871273 , 0.803919 , 0.989837 , 0.166265
9 , 0.430311 , 0.802667 , 0.0973846 , 0.850703 , 0.283761 , -0.783959 , 0.876736 , 0.15714 , 0.85461 , 0.643391
10 , 0.648244 , 0.040376 , 0.574633 , 0.686056 , 0.896664 , 0.416028 , 0.837855 , 0.213141 , 0.281991 , 0.144383
11 , 0.428846 , 0.129429 , 0.251473 , 0.69982 , 0.364696 , 0.778161 , 0.631672 , 0.686636 , 0.108127 , 0.754479
12 , 0.98471 , 0.340403 , 0.895871 , 0.697806 , 0.489853 , 0.869961 , 0.199469 , 0.0460219 , 0.440107 , 0.727928
13 , 0.545701 , 0.771569 , 0.57918 , 0.518967 , 0.866756 , 0.289712 , 0.280221 , 0.388318 , 0.784326 , 0.182806
14 , 0.686453 , 0.0726646 , 0.875271 , 0.217566 , 0.828761 , 0.288827 , 0.182226 , 0.440748 , 0.657033 , 0.650136
15 , 0.378307 , 0.228797 , 0.580462 , 0.0640278 , 0.465102 , 0.180792 , 0.851161 , 0.694876 , 0.581988 , 0.373577
16 , 0.807611 , 0.591937 , 0.794855 , 0.778619 , 0.62508 , 0.500046 , 0.582263 , 0.337687 , 0.421247 , 0.986358
17 , 0.906674 , 0.953063 , 0.068392 , 0.674032 , 0.620869 , 0.718863 , 0.346599 , 0.171941 , 0.51561 , 0.388287
18 , 0.606494 , 0.294259 , 0.442 , 0.291543 , 0.529588 , 0.302408 , 0.951415 , 0.75042 , 0.426435 , 0.744713
19 , 0.40199 , 0.470687 , 0.356548 , 0.287973 , 0.700095 , 0.617481 , 0.523606 , 0.247536 , 0.899655 , 0.387432
20 , 0.778832 , 0.422163 , 0.463546 , 0.109378 , 0.679556 , 0.48616 , 0.83755 , 0.16715 , 0.287576 , 0.769219
21 , 0.0802637 , 0.161229 , 0.335582 , 0.312693 , 0.0726035 , 0.776147 , 0.799982 , 0.897 , 0.481277 , 0.0383007
22 , 0.447035 , 0.934172 , 0.360698 , 0.775109 , 0.911649 , 0.381512 , 0.989532 , 0.175298 , 0.57976 , 0.736564
23 , 0.91586 , 0.391919 , 0.712302 , 0.290201 , 0.960051 , 0.699759 , 0.478683 , 0.230171 , 0.949217 , 0.915036
24 , 0.213782 , 0.71514 , 0.823939 , 0.0489517 , 0.938231 , 0.582751 , 0.245613 , 0.115818 , 0.187109 , 0.262001
25 , 0.699149 , 0.67626 , 0.701651 , 0.456038 , 0.222816 , 0.423109 , 0.276101 , 0.584063 , 0.642567 , 0.275582
26 , 0.182531 , 0.801569 , 0.586993 , 0.57918 , 0.492447 , 0.531419 , 0.33253 , 0.0303354 , 0.449049 , 0.418775
27 , 0.479507 , 0.242317 , 0.588061 , 0.106418 , 0.702658 , 0.94525 , 0.538469 , 0.920164 , 0.984405 , 0.928953
28 , 0.861202 , 0.341685 , 0.335429 , 0.188726 , 0.337901 , 0.438093 , 0.617237 , 0.854946 , 0.486373 , 0.831355
29 , 0.399304 , 0.276772 , 0.67513 , 0.0628376 , 0.968017 , 0.138524 , 0.827479 , 0.202887 , 0.883236 , 0.597461
30 , 0.672475 , 0.687857 , 0.00598163 , 0.00671407 , 0.857112 , 0.952818 , 0.484573 , 0.129582 , 0.867946 , 0.923917
31 , 0.537248 , 0.00628681 , 0.230689 , 0.105411 , 0.8605 , 0.033784 , 0.568499 , 0.0358592 , 0.98291 , 0.404889
32 , 0.794305 , 0.381512 , 0.541246 , 0.617481 , 0.219947 , 0.978118 , 0.419843 , 0.975646 , 0.107242 , 0.561754
33 , 0.722404 , 0.812647 , 0.527421 , 0.564226 , 0.262368 , 0.387982 , 0.0442213 , 0.706565 , 0.382611 , 0.897671
34 , 0.736656 , 0.436964 , 0.505203 , 0.633351 , 0.538835 , 0.0310678 , 0.202765 , 0.746422 , 0.39555 , 0.491317
35 , 0.975433 , 0.0367443 , 0.635304 , 0.725242 , 0.740379 , 0.191778 , 0.390515 , 0.295114 , 0.484451 , 0.255196
36 , 0.560961 , 0.830378 , 0.467025 , 0.597766 , 0.915952 , 0.0603351 , 0.119114 , 0.258644 , 0.477493 , 0.485214
37 , 0.732597 , 0.628986 , 0.122684 , 0.206885 , 0.223365 , 0.272835 , 0.750175 , 0.00433363 , 0.123783 , 0.846492
38 , 0.148167 , 0.599902 , 0.558123 , 0.624531 , 0.789727 , 0.124393 , 0.595935 , 0.00967437 , 0.0754418 , 0.598834
39 , 0.50969 , 0.300882 , 0.321421 , 0.963652 , 0.368938 , 0.650624 , 0.241401 , 0.36607 , 0.639271 , 0.787988

t = 1
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9
0 , -0.490646 , 0.744926 , 0.978332 , 0.900632 , 0.361431 , 0.855037 , 0.677328 , 0.419935 , 0.401349 , 0.0982696
1 , 0.943089 , -0.408039 , 0.715616 , -0.426789 , 0.908176 , -0.534483 , -0.97246 , -0.564122 , 0.442537 , 0.613831
2 , -0.655922 , 0.413483 , 0.820551 , -0.609314 , 0.214502 , 0.516514 , -0.670302 , 0.919602 , 0.914841 , 0.412897
3 , 0.0142827 , 0.309 , 0.102725 , 0.644795 , 0.250282 , 0.939879 , 0.900235 , -0.923582 , 0.0481582 , 0.54619
4 , 0.610675 , 0.875973 , 0.783685 , 0.277047 , 0.903348 , 0.528947 , 0.73632 , 0.88699 , 0.0959502 , 0.41905
5 , 0.779656 , 0.442537 , 0.381719 , 0.800018 , 0.240626 , 0.387628 , 0.324979 , -0.776434 , -0.436311 , 0.479086
6 , 0.760369 , -0.894192 , 0.917631 , 0.160192 , -0.253029 , -0.57271 , 0.543962 , 0.444716 , -0.725272 , 0.145878
7 , -0.760491 , -0.778436 , 0.976806 , 0.193335 , 0.78045 , 0.278481 , -0.370586 , 0.999359 , 0.55913 , 0.220649
8 , 0.31868 , 0.678652 , 0.657534 , 0.812641 , 0.82331 , 0.283987 , 0.897018 , 0.843135 , 0.99187 , 0.333012
9 , 0.430311 , 0.802667 , 0.0973846 , 0.850703 , 0.283761 , -0.783959 , 0.876736 , 0.15714 , 0.85461 , 0.643391
