t = 0
N_ID / N_ID , 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 , 36 , 37 , 38 , 39
0 , 0.335856 , 0.849239 , 0.7893 , -0.80282 , 0.894314 , 0.400769 , 0.14008 , 0.299081 , -0.474532 , 0.766106 , 0.390454 , 0.577013 , 0.93878 , 0.375225 , 0.245003 , 0.395581 , 0.281777 , 0.696982 , 0.329875 , 0.565477 , 0.421918 , 0.106784 , 0.129246 , 0.719626 , 0.467818 , 0.588031 , 0.402142 , 0.604724 , 0.874203 , 0.412427 , 0.153569 , 0.80578 , 0.705344 , 0.791467 , 0.981597 , 0.962951 , 0.0432142 , 0.345775 , 0.417951 , 0.369884
1 , 0.825861 , -0.245369 , 0.501724 , -0.442366 , 0.541978 , 0.134648 , 0.876003 , 0.970306 , 0.396283 , 0.50499 , 0.793451 , 0.100009 , 0.719962 , 0.14359 , 0.431959 , 0.21659 , 0.175817 , 0.608051 , 0.19483 , 0.281655 , 0.100833 , 0.124973 , 0.103885 , 0.55565 , 0.460433 , 0.751946 , 0.0909757 , 0.991913 , 0.43675 , 0.692496 , 0.266793 , 0.924772 , 0.565416 , 0.649892 , 0.905789 , 0.33195 , 0.216132 , 0.0842616 , 0.344951 , 0.00476089
2 , 0.4279 , -0.761986 , 0.177953 , 0.803674 , 0.211676 , 0.305948 , 0.448653 , 0.0501419 , 0.230293 , 0.717856 , 0.131993 , 0.752373 , 0.169469 , 0.589801 , 0.810297 , 0.705191 , 0.709067 , 0.0773339 , 0.4579 , 0.0747703 , 0.331004 , 0.857356 , 0.784814 , 0.75515 , 0.28779 , 0.00183111 , 0.214972 , 0.747703 , 0.888211 , 0.615986 , 0.465072 , 0.956694 , 0.471175 , 0.883145 , 0.380444 , 0.748192 , 0.151158 , 0.216193 , 0.122959 , 0.586901
3 , 0.299692 , 0.51677 , 0.685842 , 0.105502 , 0.119114 , 0.14539 , 0.348888 , 0.717277 , 0.212104 , 0.919523 , 0.733299 , 0.0293588 , 0.710929 , 0.218543 , 0.154118 , 0.911771 , 0.0824915 , 0.637593 , 0.42674 , 0.328166 , 0.181463 , 0.527329 , 0.596881 , 0.868465 , 0.442396 , 0.622303 , 0.99942 , 0.876186 , 0.0546281 , 0.720054 , 0.496719 , 0.863308 , 0.117466 , 0.0973235 , 0.0246284 , 0.259926 , 0.572222 , 0.858119 , 0.214423 , 0.00506607
4 , 0.141057 , 0.342235 , -0.618732 , 0.909879 , 0.523972 , 0.931272 , 0.972747 , 0.21305 , 0.78869 , 0.907437 , 0.576159 , 0.496231 , 0.225013 , 0.102145 , 0.423994 , 0.266457 , 0.242653 , 0.484146 , 0.950072 , 0.497604 , 0.190222 , 0.828211 , 0.443556 , 0.00372326 , 0.686514 , 0.574755 , 0.0114139 , 0.708792 , 0.957732 , 0.550737 , 0.440291 , 0.828181 , 0.44554 , 0.364513 , 0.900998 , 0.156865 , 0.625111 , 0.174413 , 0.763604 , 0.533921
5 , -0.745048 , -0.5009 , 0.83929 , 0.134526 , -0.715812 , -0.400525 , 0.564287 , 0.0128178 , 0.0187994 , 0.422651 , 0.118656 , 0.483474 , 0.558641 , 0.710746 , 0.488357 , 0.325358 , 0.847468 , 0.418348 , 0.15894 , 0.0331126 , 0.61803 , 0.208228 , 0.273415 , 0.924497 , 0.930906 , 0.407727 , 0.351604 , 0.626789 , 0.318369 , 0.198157 , 0.520981 , 0.604297 , 0.771661 , 0.382855 , 0.956877 , 0.942625 , 0.631672 , 0.162755 , 0.662862 , 0.431593
6 , 0.389874 , 0.670247 , 0.601672 , 0.65801 , -0.108188 , 0.71804 , 0.445936 , 0.959655 , 0.575152 , 0.539872 , 0.846034 , 0.268715 , 0.410535 , 0.134922 , 0.378857 , 0.315531 , 0.421705 , 0.496109 , 0.55385 , 0.412458 , 0.827296 , 0.280862 , 0.771508 , 0.272286 , 0.238746 , 0.29191 , 0.970214 , 0.909177 , 0.185797 , 0.956694 , 0.051912 , 0.986877 , 0.0411084 , 0.761773 , 0.591083 , 0.432447 , 0.968474 , 0.563982 , 0.744163 , 0.662374
7 , 0.39079 , 0.830653 , 0.370861 , -0.582659 , 0.903867 , 0.735405 , 0.0168157 , 0.618091 , 0.643147 , -0.0537126 , 0.820399 , 0.276009 , 0.375439 , 0.732536 , 0.359691 , 0.0100711 , 0.483047 , 0.412854 , 0.718589 , 0.816919 , 0.786035 , 0.359844 , 0.175604 , 0.914457 , 0.954741 , 0.180303 , 0.108585 , 0.705008 , 0.691397 , 0.110019 , 0.500748 , 0.410749 , 0.20719 , 0.432051 , 0.345042 , 0.975982 , 0.0708029 , 0.897397 , 0.0954924 , 0.744469
8 , 0.843471 , 0.4438 , 0.153539 , 0.396069 , 0.101779 , 0.992584 , 0.542314 , 0.498886 , 0.41316 , -0.318461 , 0.0141301 , 0.324015 , 0.427717 , 0.730216 , 0.592761 , 0.96469 , 0.920194 , 0.155919 , 0.442579 , 0.481033 , 0.696799 , 0.119419 , 0.217872 , 0.416608 , 0.958678 , 0.0934782 , 0.865749 , 0.131321 , 0.927519 , 0.841456 , 0.680868 , 0.673299 , 0.734977 , 0.181097 , 0.719352 , 0.804712 , 0.561663 , 0.62096 , 0.502182 , 0.722526
9 , -0.476119 , -0.418928 , 0.150273 , 0.428846 , 0.344768 , 0.244972 , 0.843898 , -0.430677 , 0.934446 , 0.0460219 , 0.707419 , 0.454237 , 0.625355 , 0.811426 , 0.679769 , 0.646535 , 0.404035 , 0.955901 , 0.532456 , 0.247475 , 0.75045 , 0.379437 , 0.191137 , 0.6404 , 0.0446791 , 0.529649 , 0.889523 , 0.495804 , 0.951567 , 0.268899 , 0.0679037 , 0.781945 , 0.230262 , 0.313059 , 0.114994 , 0.504807 , 0.505448 , 0.416303 , 0.0133366 , 0.265297
